Bus no.,Gen no.,Gout(MW),Gmax(MW),Gmin(MW),D(MW),FOR,Demand,Gavail
1,1,16,20,16,108,0.1,108,184
1,2,16,20,16,,0.1,97,184
1,3,76,76,15.2,,0.02,180,0
1,4,76,76,15.2,,0.02,74,0
2,5,16,20,16,97,0.1,71,0
2,6,16,20,16,,0.1,136,0
2,7,76,76,15.2,,0.02,125,171.2233883
2,8,76,76,15.2,,0.02,171,0
3,0,0,0,0,180,0,175,0
4,0,0,0,0,74,0,195,0
5,0,0,0,0,71,0,0,0
6,0,0,0,0,136,0,0,0
7,9,57.07446275,100,25,125,0.04,265,228.7766117
7,10,57.07446275,100,25,,0.04,194,0
7,11,57.07446275,100,25,,0.04,317,167
8,0,0,0,0,171,0,100,155
9,0,0,0,0,175,0,0,0
10,0,0,0,0,195,0,333,400
11,0,0,0,0,0,0,181,0
12,0,0,0,0,0,0,128,0
13,12,76.25887058,197,69,265,0.05,0,400
13,13,76.25887058,197,69,,0.05,0,300
13,14,76.25887058,197,69,,0.05,0,660
14,0,0,0,0,194,0,0,0
15,15,2.4,12,2.4,317,0.02,,
15,16,2.4,12,2.4,,0.02,,
15,17,2.4,12,2.4,,0.02,,
15,18,2.4,12,2.4,,0.02,,
15,19,2.4,12,2.4,,0.02,,
15,20,155,155,54.3,,0.04,,
16,21,155,155,54.3,100,0.04,,
17,0,0,0,0,0,0,,
18,22,400,400,100,333,0.12,,
19,0,0,0,0,181,0,,
20,0,0,0,0,128,0,,
21,23,400,400,100,0,0.12,,
22,24,50,50,10,0,0.01,,
22,25,50,50,10,,0.01,,
22,26,50,50,10,,0.01,,
22,27,50,50,10,,0.01,,
22,28,50,50,10,,0.01,,
22,29,50,50,10,,0.01,,
23,30,155,155,54.3,0,0.04,,
23,31,155,155,54.3,,0.04,,
23,32,350,350,140,,0.08,,
24,0,0,0,0,0,0,,
